country,totalConfirmed,totalDeaths,totalRecovered,dailyConfirmed,dailyDeaths,activeCases,totalCritical,lastUpdated
Somalia,3941,104,3185,0,0,652,0,2020-10-28T04:35:00.000Z
Cyprus,3817,25,1882,0,0,1910,2,2020-10-28T04:35:00.000Z
Thailand,3759,59,3561,13,0,139,1,2020-10-28T04:35:00.000Z
Gambia,3666,119,2666,0,0,881,0,2020-10-28T04:35:00.000Z
Martinique,3552,30,98,0,0,3424,16,2020-10-28T04:35:00.000Z
Mali,3515,136,2665,0,0,714,0,2020-10-28T04:35:00.000Z
Belize,3232,51,2045,32,0,1136,1,2020-10-28T04:35:00.000Z
Uruguay,2916,54,2455,0,0,407,8,2020-10-28T04:35:00.000Z
South Sudan,2890,56,1290,0,0,1544,0,2020-10-28T04:35:00.000Z
Benin,2557,41,2330,0,0,186,0,2020-10-28T04:35:00.000Z
Burkina Faso,2466,67,2181,0,0,218,0,2020-10-28T04:35:00.000Z
Guinea-Bissau,2403,41,1818,0,0,544,5,2020-10-28T04:35:00.000Z
Sierra Leone,2350,74,1790,0,0,486,0,2020-10-28T04:35:00.000Z
Togo,2229,54,1612,0,0,563,0,2020-10-28T04:35:00.000Z
Yemen,2060,599,1364,0,0,97,0,2020-10-28T04:35:00.000Z
Lesotho,1947,43,975,0,0,929,0,2020-10-28T04:35:00.000Z
New Zealand,1943,25,1852,2,0,66,0,2020-10-28T04:35:00.000Z
Chad,1460,96,1290,0,0,74,0,2020-10-28T04:35:00.000Z
Liberia,1419,82,1278,0,0,59,2,2020-10-28T04:35:00.000Z
Niger,1218,69,1132,0,0,17,9,2020-10-28T04:35:00.000Z
Vietnam,1172,35,1062,0,0,75,0,2020-10-28T04:35:00.000Z
Sao Tome and Principe,941,15,902,0,0,24,0,2020-10-28T04:35:00.000Z
Curaçao,884,1,606,0,0,277,4,2020-10-28T04:35:00.000Z
San Marino,852,42,716,0,0,94,3,2020-10-28T04:35:00.000Z
Channel Islands,822,48,671,0,0,103,2,2020-10-28T04:35:00.000Z
Diamond Princess,712,13,659,0,0,40,4,2020-10-28T04:35:00.000Z
Turks and Caicos,703,6,689,0,0,8,1,2020-10-28T04:35:00.000Z
Gibraltar,679,0,547,0,0,132,14,2020-10-28T04:35:00.000Z
Papua New Guinea,588,7,546,0,0,35,0,2020-10-28T04:35:00.000Z
Saint Martin,566,9,488,0,0,69,12,2020-10-28T04:35:00.000Z
Burundi,558,1,511,0,0,46,0,2020-10-28T04:35:00.000Z
Taiwan,550,7,497,0,0,46,0,2020-10-28T04:35:00.000Z
Comoros,517,7,494,0,0,16,0,2020-10-28T04:35:00.000Z
Tanzania,509,21,183,0,0,305,7,2020-10-28T04:35:00.000Z
Faeroe Islands,494,0,478,0,0,16,0,2020-10-28T04:35:00.000Z
Eritrea,461,0,405,0,0,56,0,2020-10-28T04:35:00.000Z
Mauritius,439,10,389,0,0,40,0,2020-10-28T04:35:00.000Z
Liechtenstein,428,1,210,0,0,217,8,2020-10-28T04:35:00.000Z
Isle of Man,352,24,321,0,0,7,0,2020-10-28T04:35:00.000Z
Bhutan,345,0,314,3,0,31,0,2020-10-28T04:35:00.000Z
Mongolia,340,0,312,0,0,28,1,2020-10-28T04:35:00.000Z
Monaco,320,2,256,0,0,62,5,2020-10-28T04:35:00.000Z
Cambodia,290,0,283,2,0,7,0,2020-10-28T04:35:00.000Z
Cayman Islands,239,1,218,0,0,20,1,2020-10-28T04:35:00.000Z
Barbados,233,7,217,0,0,9,0,2020-10-28T04:35:00.000Z
Bermuda,194,9,175,0,0,10,0,2020-10-28T04:35:00.000Z
Seychelles,153,0,149,0,0,4,0,2020-10-28T04:35:00.000Z
Caribbean Netherlands,150,3,126,0,0,21,0,2020-10-28T04:35:00.000Z
Brunei ,148,3,143,0,0,2,0,2020-10-28T04:35:00.000Z
Brunei,141,2,138,0,0,1,1,2020-06-02T01:47:00.000Z
United Arab Emirates,140,2,31,0,0,0,0,2020-03-20T23:13:09.000Z
Antigua and Barbuda,124,3,108,0,0,13,0,2020-10-28T04:35:00.000Z
St. Barth,83,0,67,0,0,16,0,2020-10-28T04:35:00.000Z
St. Vincent Grenadines,74,0,69,0,0,5,0,2020-10-28T04:35:00.000Z
British Virgin Islands,71,1,70,0,0,0,0,2020-10-28T04:35:00.000Z
Saint Lucia,65,0,27,0,0,38,0,2020-10-28T04:35:00.000Z
Macao,46,0,46,0,0,0,0,2020-10-28T04:35:00.000Z
Puerto Rico,39,2,1,8,0,36,0,2020-03-25T08:50:37.000Z
Dominica,38,0,29,0,0,9,0,2020-10-28T04:35:00.000Z
Fiji,33,2,30,0,0,1,0,2020-10-28T04:35:00.000Z
Guam,32,1,0,3,0,31,0,2020-03-25T08:50:37.000Z
Timor-Leste,30,0,29,0,0,1,0,2020-10-28T04:35:00.000Z
Grenada,28,0,24,0,0,4,0,2020-10-28T04:35:00.000Z
New Caledonia,27,0,27,0,0,0,0,2020-10-28T04:35:00.000Z
Vatican City,27,0,15,0,0,12,0,2020-10-28T04:35:00.000Z
Laos,24,0,22,0,0,2,0,2020-10-28T04:35:00.000Z
Saint Kitts and Nevis,19,0,19,0,0,0,0,2020-10-28T04:35:00.000Z
Greenland,17,0,16,0,0,1,0,2020-10-28T04:35:00.000Z
U.S. Virgin Islands,17,0,0,0,0,17,0,2020-03-25T08:50:38.000Z
Saint Pierre Miquelon,16,0,12,0,0,4,0,2020-10-28T04:35:00.000Z
Falkland Islands,13,0,13,0,0,0,0,2020-10-28T04:35:00.000Z
Montserrat,13,1,12,0,0,0,0,2020-10-28T04:35:00.000Z
Western Sahara,10,1,8,0,0,1,0,2020-10-28T04:35:00.000Z
Côte d'Ivoire,9,0,1,0,0,0,0,2020-03-20T00:00:00.000Z
MS Zaandam,9,2,0,0,0,7,0,2020-10-28T04:35:00.000Z
Solomon Islands,8,0,4,0,0,4,0,2020-10-28T04:35:00.000Z
Anguilla,3,0,3,0,0,0,0,2020-10-28T04:35:00.000Z
Central African Republic,3,0,0,0,0,0,0,2020-03-20T20:43:03.000Z
Kosovo,2,0,0,0,0,0,0,2020-03-20T00:00:00.000Z
Faroe Islands,2,0,0,0,0,0,0,2020-03-10T00:00:00.000Z
Wallis and Futuna,1,0,1,0,0,0,0,2020-10-28T04:35:00.000Z
Saint Vincent and the Grenadines,1,0,0,0,0,0,0,2020-03-20T00:00:00.000Z
Jersey,0,0,0,0,0,0,0,2020-03-20T00:00:00.000Z
Guernsey,0,0,0,0,0,0,0,2020-03-20T00:00:00.000Z
